date,n_observations,r_squared,adjusted_r_squared,coef_const,ols_p_const,hac_p_const,coef_BTC,ols_p_BTC,hac_p_BTC,coef_SP500,ols_p_SP500,hac_p_SP500,coef_GOLD,ols_p_GOLD,hac_p_GOLD,coef_USD,ols_p_USD,hac_p_USD,coef_VIX,ols_p_VIX,hac_p_VIX
2021-01-15,252,0.7444243991689652,0.7392297731358142,0.0011041091238924955,0.6191783322496249,0.5773600815632813,1.1292968764895455,1.532027320914341e-61,6.154691526655471e-83,0.33542872509909094,0.02961860816031112,0.01970412960069954,-0.02959074949800454,0.8629380622898717,0.8720434483219791,0.0348471792725229,0.9456651817685489,0.9330794511054692,0.035316441388386625,0.33482388393361584,0.4520149103088458
2021-01-19,252,0.7215210645276788,0.7158609235627943,0.0018476305755693175,0.4300516016933035,0.3967449963725762,1.1138765450744874,5.541708844037516e-57,1.7047749155889955e-71,0.3380611859816469,0.03744732175824061,0.020580030811416534,-0.011743663546590843,0.948187331182776,0.9496496723857734,-0.07727746807118951,0.8860612537116208,0.8553101818757026,0.028019251933754166,0.4673276077473252,0.5536816882033463
2021-01-20,252,0.7214412488218569,0.7157794855865288,0.0018599747653031257,0.42679977252895895,0.397773001588297,1.1129633625401962,4.8319321219161353e-57,4.396028741930271e-71,0.3358949175646403,0.03881751859206879,0.021293239442112755,-0.005481397699678647,0.9757406592529483,0.9765160614363187,-0.07291209442810043,0.8924593572096897,0.863301846718195,0.026505729210870493,0.4916488159924327,0.5761741047225
2021-01-21,252,0.729880129438111,0.7243898881665278,0.0016018788176260965,0.49476691934240413,0.45433318507497644,1.1282955147726779,2.7675682452905765e-59,8.729625842092481e-85,0.3281770517755833,0.04417561835185485,0.022733450313936653,-0.011369975679012961,0.949886557380009,0.9513479926845779,-0.028310568700240957,0.9582236023929007,0.9459512976887132,0.028767863916136595,0.45682561396515575,0.5387116704470969
2021-01-22,252,0.7309956431549554,0.7255280749263975,0.0016584315694153197,0.4803061264976647,0.4417059959695997,1.131120795831509,1.1407848138701872e-59,2.129803304627485e-86,0.32698982812462424,0.045056705620802454,0.023086278608933,-0.015497332563899652,0.9317774752830598,0.9338782311998444,-0.024242975062129135,0.9642561960342357,0.9537580265332768,0.029357141906478153,0.4477086169483727,0.5290086333189014
2021-01-25,252,0.7259032689377083,0.7203321971681496,0.0020301910398696334,0.39265222251798315,0.3590046319549046,1.127697329079079,1.0307075452862848e-58,2.3227614469361238e-86,0.35144932500203524,0.03298496579631021,0.016763754149846006,-0.014153601665638366,0.9383601273600166,0.9396752710664525,0.018880460723218473,0.9724678254338461,0.9644271986030712,0.03587563199746808,0.3597198079460405,0.44818138532381935
2021-01-26,252,0.7256852618327259,0.720109759024448,0.002145042787187676,0.3660163190446676,0.3357441537797007,1.130580849552362,1.7566845968128777e-58,3.4182422426477086e-83,0.3562812778437962,0.031087289165736363,0.01691530001214674,-0.01643899155367662,0.9284107583068166,0.9297902922575474,0.021733582596570544,0.9683140496626892,0.9591879086574635,0.03933910545103921,0.3243565044363488,0.4273468021914685
2021-01-27,252,0.7276492529874681,0.7221136686985955,0.0022108663363191007,0.35159614697515695,0.3203088494711056,1.1322997605611131,1.4165801588346977e-58,3.3096309333894315e-83,0.3370645372118535,0.03579289040639425,0.0140381290115489,-0.019311557226082687,0.915910584503296,0.9181388407353401,0.002967172748753466,0.9956475310873079,0.9942937992236178,0.03176420259566522,0.3885923829332478,0.45234432290929716
2021-01-28,252,0.7266815260382442,0.7211262725024361,0.002051114912897433,0.38876617560506854,0.35571622650655077,1.1265392162307386,2.605592226525794e-58,7.733956688637453e-82,0.3599959527007767,0.024392803184025657,0.009779100683529598,-0.011413923627402567,0.950346449376434,0.9512824723542155,0.026074546549051947,0.9618493148381618,0.9498834599561765,0.03874217361070192,0.28826305620537757,0.3556223137179596
2021-01-29,252,0.7270387782030479,0.7214907858901016,0.0019671451424639686,0.4080874467028167,0.3729931328763284,1.1272201896556073,1.5352073418463406e-58,4.3756974078180615e-83,0.3630626756828069,0.023057099934423755,0.009128263157440687,-0.015555746772192514,0.9323129486948737,0.9333978349042631,0.0326588436191837,0.9521441271248162,0.9370775359398348,0.040572369121134405,0.2659857442891348,0.331010168323167
2021-02-01,252,0.726828335874369,0.7212760662783196,0.002053269103448852,0.3872557362537302,0.35160508322362505,1.1262189484067167,1.2230919379930018e-58,2.582980425402558e-83,0.3656318178623532,0.022311019364479164,0.00906141829143946,-0.013231009380184927,0.9423268018712843,0.9432056043782888,0.037846111173682084,0.9444964844139659,0.9266406646554296,0.04112272597658684,0.26299012262810817,0.33079736480024924
2021-02-02,252,0.7297763208445206,0.7242839696421735,0.0019564278746404223,0.40883080795527005,0.3693781281959566,1.1306776911148335,3.463598124591013e-59,6.630074863128224e-84,0.3562656970095735,0.025300814743447836,0.010197570301761438,-0.02725035628042094,0.8808876306532609,0.8819147163950329,-0.005539708964683365,0.9918601194644696,0.9891119755409864,0.03882864034564919,0.28657821757919466,0.35286699477854877
2021-02-03,252,0.7304257101214222,0.7249465578881178,0.002051882899498648,0.3874105118891612,0.3481418252705407,1.133300789324116,2.80082830533503e-59,1.1744456539959359e-83,0.344583896847814,0.030132149552183043,0.012249553004592543,-0.024914129196906207,0.891458017544617,0.8932339668536017,-0.009899161805851264,0.9854761323985352,0.9805409211791538,0.03619669444932146,0.3199094611159999,0.3898732704070035
2021-02-04,252,0.7296652298190673,0.7241706206690484,0.001845635273740201,0.43679829394186764,0.3948502958626422,1.1330776685192152,3.393678819111414e-59,1.5550367056965656e-83,0.34144601945774844,0.0316631559602654,0.013951569970442756,-0.014216119771232522,0.9377040710234763,0.9383727187569955,-0.040623899021164256,0.9405404923947103,0.9197051406549294,0.03690291606111912,0.3109031673530876,0.3795279433080292
2021-02-05,252,0.7297925397734479,0.7243005182241278,0.0018836690786441794,0.4281388335379511,0.3840779480987696,1.1337523473342683,3.6437924525064456e-59,1.5373186262254008e-83,0.33725912842173283,0.03392229710481764,0.015978347627035157,-0.011777489360937893,0.9484275095084793,0.9490205381201755,-0.08591899109092371,0.8747033985374718,0.8307934737781482,0.03577519274298116,0.32614302408432205,0.39601163276732776
2021-02-08,252,0.6994359314589766,0.6933269056756226,0.0013132375951126793,0.6006068826761419,0.5383768843539534,1.0666921050152516,2.108366790543997e-53,7.027660024053209e-37,0.3540947688091951,0.03459496938601842,0.013617225928121974,-0.011209135094841838,0.9534332537051293,0.9508313672826186,-0.13934808496234485,0.8083981392747606,0.7353567979778148,0.02184483809234664,0.5683471322423024,0.6332606882088818
2021-02-09,252,0.6994536317581512,0.6933449657369755,0.0013513619204858873,0.5902510734789856,0.5280949913720981,1.066594051771459,2.151496938746535e-53,7.258980904631427e-37,0.35431949612948027,0.03447914138441579,0.013578129782423062,-0.010800381280740984,0.9551345214325118,0.9526793822341486,-0.14036580531854814,0.8066233602827882,0.7335965488062504,0.02180946664193581,0.5689701090835091,0.6336625621399077
2021-02-10,252,0.6988695648112419,0.6927490275106574,0.0013920599529530224,0.5789850670806469,0.5113371291550046,1.0641886204825506,2.9927268687323295e-53,5.700164010336652e-36,0.35529158818983075,0.03403443696414654,0.013550663239431526,-0.005937654746872606,0.9753527411691458,0.9740285236264118,-0.13803395759048254,0.8098652502532947,0.738463236533879,0.021578777694315397,0.5732663424302725,0.6378701005803462
2021-02-11,252,0.7031496808550782,0.6971161377830271,0.0007507054757453565,0.7621948931544631,0.7126518421115431,1.0606471397007837,4.888782398001636e-54,2.00709400135606e-34,0.37986453072862136,0.02199516863265955,0.010224642903814586,-0.006709825598827768,0.9717852570212977,0.9704256884438496,-0.22025244323732474,0.6980603230091174,0.5848059213483094,0.030453752311698817,0.4227555194856025,0.5027579594197933
2021-02-12,252,0.7022805701790051,0.6962293622558142,0.0008474057015374105,0.7330354354788899,0.6758881255244795,1.0595373986163978,7.195791836897383e-54,5.110415565875482e-34,0.375803772078892,0.023657837354784585,0.010569293032786276,-0.009040745382361215,0.9620678132183423,0.9602131590031963,-0.21876982988352822,0.7004976417809103,0.5878705925454359,0.028062594761154365,0.46025555657122275,0.537894485028513
2021-02-16,252,0.6995881739164012,0.6934822424919378,0.0003991130454235718,0.8729735183207904,0.8442315547841414,1.0535519400252589,2.382686918413434e-53,6.422250220436423e-33,0.36705900700427724,0.02760668873510185,0.012366184709530798,0.01337990632283198,0.9439617479380935,0.9425039504376337,-0.22432427137991506,0.694528655058311,0.5794149228115968,0.02388189360314673,0.530300213325525,0.6049682005084671
2021-02-17,252,0.6993858102330686,0.6932757657256106,0.00027709809615176725,0.9117117584196348,0.892154044723181,1.0511668752738843,2.182354458701018e-53,5.2901403343288086e-33,0.36654380582568297,0.028003041919970693,0.013028449324067697,0.01762826459030642,0.9262667533296756,0.9252165498124263,-0.25270503349391427,0.6586819211161823,0.5339714111455884,0.022971240853318423,0.5469294019213509,0.6211232977572003
2021-02-18,252,0.6960288652751683,0.6898505901791352,0.0006279783262701747,0.8024042102223923,0.7571238053581825,1.0467073338280892,1.183757251238477e-52,4.340545704119997e-32,0.37014864863470176,0.02695401090596008,0.01296050011955682,0.021395508654476453,0.9109143751327039,0.9093626468459163,-0.28138105155995596,0.6235632754926239,0.49190681676558423,0.023277076052716058,0.5429199535180044,0.6156245655374042
2021-02-19,252,0.6920664128308194,0.6858076000834783,0.00042913421649944604,0.8651851581165577,0.8339658985362534,1.0378876867935412,5.742797412588469e-52,4.157258616790499e-31,0.38364841993507903,0.022684465289406697,0.010819727263309759,0.028459299989751302,0.8824947636356235,0.8803746310632199,-0.24895544940366365,0.6664411733606563,0.5454144190351099,0.024520785563416504,0.524939704508382,0.6004278582928015
